,open,high,low,close,volume,predicted_close
2025-06-10,,,,,,100114.66923700308
2025-06-11,,,,,,100031.99044046659
2025-06-12,,,,,,100749.57891640817
2025-06-13,,,,,,100687.49605468396
2025-06-14,,,,,,100985.59323304308
2025-06-15,,,,,,101211.87345708976
2025-06-16,,,,,,102615.24749559733
2025-06-17,,,,,,104480.99908728868
2025-06-18,,,,,,103961.08799517609
2025-06-19,,,,,,103721.87330775382
2025-06-20,,,,,,104045.09085179372
2025-06-21,,,,,,103290.00887514355
2025-06-22,,,,,,102667.43011128926
2025-06-23,,,,,,103612.50986192247
2025-06-24,,,,,,102805.18060914463
2025-06-25,,,,,,103782.42015587454
2025-06-26,,,,,,102884.87318256727
2025-06-27,,,,,,102221.94244972577
2025-06-28,,,,,,103947.43360705652
2025-06-29,,,,,,102925.59472171485
2025-06-30,,,,,,101769.9007271538
2025-07-01,,,,,,100909.6197233145
2025-07-02,,,,,,99820.65467983285
2025-07-03,,,,,,99636.90975279234
2025-07-04,,,,,,98098.18345569812
2025-07-05,,,,,,99301.31569799509
2025-07-06,,,,,,99371.54888012505
2025-07-07,,,,,,98745.50113406985
2025-07-08,,,,,,98232.5286729533
2025-07-09,,,,,,97476.70171534359
2025-07-10,,,,,,97128.36024797258
2025-07-11,,,,,,97543.76591704658
2025-07-12,,,,,,97529.34424533042
2025-07-13,,,,,,98244.7988941185
2025-07-14,,,,,,98698.03810685233
2025-07-15,,,,,,99691.1949189183
2025-07-16,,,,,,101230.70069657006
2025-07-17,,,,,,102277.24612085357
2025-07-18,,,,,,103675.06662330686
2025-07-19,,,,,,105122.93348183412
2025-07-20,,,,,,105729.14071577023
2025-07-21,,,,,,103992.03340107355
2025-07-22,,,,,,103228.45517394645
2025-07-23,,,,,,104040.71687387062
2025-07-24,,,,,,104885.63431139648
2025-07-25,,,,,,105893.4628681038
2025-07-26,,,,,,108425.23009817809
2025-07-27,,,,,,109575.45126119583
2025-07-28,,,,,,111302.08104704836
2025-07-29,,,,,,112038.75695905025
2025-07-30,,,,,,111213.52682415089
2025-07-31,,,,,,110609.75157647488
2025-08-01,,,,,,110377.86044543545
2025-08-02,,,,,,111423.4132453605
2025-08-03,,,,,,110411.98323465353
2025-08-04,,,,,,110591.31675877713
2025-08-05,,,,,,110134.1366532765
2025-08-06,,,,,,110816.85272328879
2025-08-07,,,,,,110877.60217823191
2025-08-08,,,,,,110318.29917957776
2025-08-09,,,,,,109511.63998295965
2025-08-10,,,,,,109087.68287679502
2025-08-11,,,,,,109843.97268851614
2025-08-12,,,,,,110059.67991448127
2025-08-13,,,,,,111587.49087558579
2025-08-14,,,,,,111980.56481926316
2025-08-15,,,,,,113154.80368389629
2025-08-16,,,,,,113845.10488020403
2025-08-17,,,,,,113669.8228641532
2025-08-18,,,,,,113477.3697608315
2025-08-19,,,,,,113578.67853734773
