timestamp,bitcoin_price,ethereum_price,tether_price,ripple_price,binancecoin_price,solana_price,usd-coin_price,dogecoin_price,cardano_price,staked-ether_price,tron_price,wrapped-bitcoin_price,wrapped-steth_price,chainlink_price,litecoin_price,avalanche-2_price,sui_price,stellar_price,the-open-network_price,leo-token_price,shiba-inu_price,hedera-hashgraph_price,usds_price,polkadot_price,mantra-dao_price,weth_price,hyperliquid_price,ethena-usde_price,bitcoin-cash_price,wrapped-eeth_price
2024-04-11,70528.0,3539.76,1.0,0.617373,609.12,173.12,0.99957,0.19961,0.585721,3535.22,0.119127,70508.0,4110.58,17.41,96.67,47.3,1.52,0.129572,6.77,5.94,2.798e-05,0.102137,1.016,8.41,0.906599,3538.89,8.43,1.0,628.67,3658.48
2024-04-15,65753.0,3157.68,1.001,0.505139,567.9,151.55,1.0,0.1625,0.468727,3151.68,0.11262,65660.0,3668.74,14.12,79.97,37.47,1.2,0.110828,6.75,6.01,2.274e-05,0.08362,1.016,6.88,0.725441,3158.51,8.43,1.0,528.79,3270.8
2024-04-19,63462.0,3064.91,1.0,0.50263,551.58,142.13,0.99983,0.15196,0.457828,3063.01,0.109279,62856.0,3571.84,13.88,80.77,34.83,1.25,0.110433,6.51,5.83,2.277e-05,0.082189,1.016,6.78,0.670079,3068.56,8.43,1.001,482.95,3174.45
2024-04-23,66842.0,3199.77,0.999956,0.55608,605.26,156.99,0.999724,0.161157,0.516369,3199.43,0.112282,66837.0,3710.99,15.46,85.44,39.22,1.39,0.118225,5.94,5.76,2.689e-05,0.090442,1.016,7.47,0.710929,3198.15,8.43,0.999064,522.18,3314.55
2024-04-27,63802.0,3131.42,0.999696,0.525942,597.88,139.26,0.999969,0.147829,0.462434,3129.26,0.120043,63758.0,3640.93,14.48,87.99,34.41,1.17,0.114033,5.34,5.75,2.523e-05,0.110906,1.016,6.76,0.68995,3128.72,8.43,0.998441,482.6,3236.8
2024-05-01,60749.0,3018.55,0.998694,0.500178,578.19,127.04,1.0,0.133401,0.440954,3018.97,0.119341,60603.0,3499.69,13.14,79.55,32.73,1.14,0.107738,5.16,5.83,2.243e-05,0.093581,1.016,6.42,0.655861,3015.06,8.43,0.998105,434.54,3122.72
2024-05-05,63820.0,3115.02,1.0,0.530011,585.71,146.11,0.999684,0.159955,0.463076,3113.72,0.122308,63794.0,3630.7,14.32,81.68,37.36,1.09,0.110956,5.74,5.81,2.504e-05,0.108985,1.016,7.12,0.786094,3117.35,8.43,0.999014,463.06,3227.66
2024-05-09,61216.0,2975.73,0.99986,0.517824,588.6,142.52,1.0,0.143502,0.453369,2973.9,0.122895,61157.0,3464.86,13.91,81.62,34.07,1.013,0.107494,5.77,5.91,2.257e-05,0.106206,1.016,7.0,0.720208,2976.29,8.43,1.001,448.64,3087.04
2024-05-13,61507.0,2931.31,0.99928,0.499639,594.05,143.59,1.0,0.141158,0.437781,2930.35,0.127341,61454.0,3418.72,13.54,81.38,33.17,1.003,0.104702,6.95,5.89,2.232e-05,0.10859,1.016,6.62,0.688856,2932.67,8.43,0.999879,433.25,3043.57
2024-05-17,65261.0,2943.59,0.999919,0.515796,569.18,159.15,0.999706,0.149711,0.459582,2941.37,0.125081,65261.0,3423.45,15.5,82.46,34.48,1.027,0.106669,6.76,5.92,2.452e-05,0.112438,1.016,7.03,0.704187,2941.76,8.43,1.001,444.86,3051.4
2024-05-21,71430.0,3656.39,1.0,0.537265,600.78,186.32,1.0,0.165235,0.501723,3652.34,0.124428,71256.0,4279.78,17.31,88.57,40.14,1.15,0.112264,6.55,5.98,2.599e-05,0.117573,1.016,7.57,0.752279,3655.28,8.43,1.002,515.14,3810.37
2024-05-25,68540.0,3727.07,0.999534,0.535092,600.02,167.77,0.999787,0.163541,0.459628,3725.38,0.115405,68644.0,4355.09,17.24,84.86,37.98,1.069,0.110193,6.4,5.99,2.438e-05,0.107916,1.016,7.25,0.654118,3727.28,8.43,1.001,494.51,3871.25
2024-05-29,68317.0,3840.69,0.998849,0.52809,601.03,168.75,0.99978,0.165015,0.456826,3839.23,0.11116,68357.0,4497.95,18.52,83.39,37.01,1.031,0.107741,6.47,5.97,2.666e-05,0.10432,1.016,7.37,0.669111,3841.78,8.43,1.0,469.88,3992.38
2024-06-02,67704.0,3813.45,0.999377,0.518039,600.92,165.96,1.0,0.160153,0.44987,3811.41,0.112482,67671.0,4451.13,18.41,83.42,35.77,1.025,0.106327,6.3,5.93,2.528e-05,0.099877,1.016,7.06,0.798275,3812.5,8.43,1.001,463.06,3960.48
2024-06-06,71185.0,3871.08,1.001,0.526266,699.92,173.77,1.0,0.163508,0.461678,3866.79,0.114695,71080.0,4508.83,17.76,85.48,36.54,1.1,0.107188,7.21,6.0,2.593e-05,0.104484,1.016,7.25,0.924698,3869.27,8.43,1.002,495.59,4014.52
2024-06-10,69654.0,3705.9,1.0,0.498548,673.5,162.06,1.0,0.146778,0.444217,3703.28,0.116877,69701.0,4334.68,16.37,80.55,32.96,1.094,0.099872,7.11,5.87,2.35e-05,0.091497,1.016,6.52,1.028,3707.99,8.43,1.001,474.39,3856.89
2024-06-14,66700.0,3465.32,0.999079,0.476517,599.16,147.23,0.999106,0.14099,0.420746,3466.13,0.116795,66761.0,4050.86,15.12,79.11,30.96,0.96404,0.097393,7.74,5.58,2.117e-05,0.088312,1.016,6.36,0.846918,3467.31,8.43,1.0,431.22,3603.97
2024-06-18,66460.0,3510.36,0.99963,0.504435,603.93,143.2,1.0,0.128881,0.401637,3511.56,0.116757,66499.0,4107.23,14.53,76.61,28.47,0.891808,0.096774,7.7,5.74,1.929e-05,0.080135,1.016,6.07,0.703564,3510.31,8.43,1.001,420.03,3647.81
2024-06-22,64072.0,3516.88,0.999555,0.488644,585.86,134.51,1.0,0.124026,0.375912,3515.31,0.118295,64056.0,4114.02,13.86,74.09,27.44,0.917656,0.092048,7.1,5.73,1.784e-05,0.078674,1.016,5.61,0.69962,3517.26,8.43,1.0,382.76,3657.22
2024-06-26,61770.0,3395.3,0.999919,0.475527,578.1,136.51,1.0,0.126122,0.391884,3393.63,0.121878,61845.0,3970.03,14.2,71.36,25.41,0.878151,0.091854,7.49,5.75,1.774e-05,0.078718,1.016,5.84,0.745964,3394.86,8.43,1.0,388.6,3525.65
2024-06-30,60864.0,3371.28,0.998366,0.471672,569.04,139.87,0.999667,0.121634,0.383257,3370.53,0.125295,60888.0,3948.9,13.5,74.99,27.7,0.7805,0.089935,7.58,5.8,1.687e-05,0.076046,1.016,6.07,0.709263,3372.08,8.43,0.998267,380.31,3508.0
2024-07-04,60245.0,3295.81,0.999139,0.466831,556.98,140.72,1.0,0.118501,0.40653,3295.34,0.128504,60179.0,3860.89,13.63,71.97,26.49,0.77598,0.090282,7.88,5.8,1.639e-05,0.07216,1.016,6.06,0.881247,3296.06,8.43,0.998487,373.13,3430.39
2024-07-08,55880.0,2928.6,0.999859,0.419179,489.9,131.85,0.999263,0.104007,0.34591,2928.11,0.124573,55913.0,3429.77,12.33,61.92,25.65,0.639119,0.08377,7.05,5.76,1.547e-05,0.064468,1.016,5.9,0.869176,2929.91,8.43,0.999356,312.15,3049.53
2024-07-12,57388.0,3102.09,1.0,0.449315,525.42,136.07,1.001,0.106667,0.395745,3101.04,0.134424,57452.0,3631.61,12.36,67.47,25.25,0.756729,0.088796,7.32,5.83,1.623e-05,0.065728,1.016,5.91,1.065,3102.5,8.43,0.999486,347.39,3230.56
2024-07-16,64835.0,3488.54,1.001,0.537662,586.5,159.92,1.001,0.12523,0.445662,3491.61,0.137462,64800.0,4083.54,14.42,72.49,27.84,0.848276,0.104988,7.64,5.86,1.933e-05,0.078349,1.016,6.5,1.24,3486.69,8.43,0.999899,400.67,3629.15
2024-07-20,66690.0,3505.22,1.0,0.574156,593.63,169.22,0.999829,0.125458,0.438694,3505.13,0.134665,66659.0,4116.0,14.08,73.47,28.17,0.854067,0.105401,7.3,5.84,1.783e-05,0.074753,1.016,6.34,1.28,3504.57,8.43,0.999208,391.52,3656.0
2024-07-24,65942.0,3482.98,1.0,0.598191,582.45,173.03,0.999978,0.130555,0.410284,3483.31,0.134063,65912.0,4084.72,13.92,72.99,29.87,0.815196,0.101073,6.86,5.74,1.707e-05,0.068313,1.016,5.92,1.26,3481.34,8.43,0.999554,366.57,3634.74
2024-07-28,68055.0,3254.61,1.0,0.597772,582.16,184.67,0.999818,0.132074,0.418518,3253.72,0.137289,68015.0,3817.41,13.58,71.43,28.15,0.786383,0.101708,6.64,5.77,1.708e-05,0.068854,1.016,5.84,1.21,3254.17,8.43,0.99718,392.52,3397.71
2024-08-01,64680.0,3233.08,0.999927,0.624136,576.72,171.97,1.0,0.122077,0.388714,3232.01,0.128832,64754.0,3790.92,12.83,70.21,25.72,0.707346,0.100728,6.76,5.67,1.593e-05,0.062987,1.016,5.39,1.16,3230.97,8.43,0.999427,414.95,3374.45
2024-08-05,58006.0,2682.44,0.998332,0.523,495.96,137.56,0.997406,0.103636,0.34344,2682.48,0.126105,58173.0,3158.87,10.86,62.27,21.2,0.574489,0.087954,6.0,5.66,1.33e-05,0.055209,1.016,4.68,0.976655,2685.5,8.43,0.997909,331.23,2814.22
2024-08-09,61859.0,2685.01,1.001,0.618025,517.02,163.05,1.001,0.107444,0.352004,2685.03,0.127075,61886.0,3151.76,10.74,61.32,22.73,0.857954,0.103041,6.25,5.82,1.431e-05,0.059138,1.016,4.88,1.044,2680.89,8.43,1.001,354.57,2805.04
2024-08-13,59350.0,2726.78,1.0,0.568612,518.75,146.52,0.999975,0.107647,0.338874,2725.81,0.126661,59301.0,3204.89,10.56,61.41,21.29,1.015,0.098846,6.27,5.78,1.392e-05,0.05386,1.016,4.59,0.936253,2726.82,8.43,0.999702,354.16,2848.3
2024-08-17,58882.0,2592.25,0.999803,0.56395,519.72,139.12,0.999504,0.100332,0.329867,2592.69,0.134077,58784.0,3049.53,10.13,66.43,20.38,0.812195,0.094818,6.55,5.74,1.321e-05,0.051962,1.016,4.29,0.922988,2594.27,8.43,0.999554,338.14,2711.71
2024-08-21,59060.0,2575.64,0.99993,0.594395,569.51,142.52,0.999645,0.103065,0.34356,2575.48,0.160541,59086.0,3032.46,10.25,64.46,22.28,0.871878,0.097762,6.67,5.83,1.365e-05,0.053658,1.016,4.52,0.850172,2577.4,8.43,0.998333,335.33,2695.07
2024-08-25,64157.0,2767.84,1.001,0.613939,580.91,160.64,1.001,0.112663,0.394551,2766.34,0.159022,63963.0,3251.88,12.36,66.57,27.14,1.021,0.102686,5.93,5.81,1.564e-05,0.060429,1.016,4.99,1.021,2764.58,8.43,0.99935,363.7,2893.4
2024-08-29,59015.0,2527.03,0.99911,0.569699,536.56,143.83,0.999363,0.099532,0.350197,2524.75,0.15803,59005.0,2977.31,11.18,61.76,23.49,0.812631,0.092799,5.52,5.79,1.386e-05,0.051316,1.016,4.26,0.883571,2527.39,8.43,0.998259,322.25,2646.02
2024-09-02,57358.0,2430.02,1.001,0.548258,512.86,128.79,1.0,0.095438,0.331916,2428.05,0.155657,57286.0,2860.39,10.36,63.59,21.46,0.763409,0.09009,5.19,5.85,1.316e-05,0.0479805,1.016,4.07,0.878189,2428.11,8.43,0.998311,312.49,2542.58
2024-09-06,56132.0,2367.77,0.999541,0.54411,502.34,129.27,1.0,0.09837,0.325234,2366.82,0.149743,56055.0,2786.7,10.01,66.12,21.37,0.797359,0.090242,4.8,5.53,1.319e-05,0.04812279,1.016,4.02,0.910984,2367.48,8.43,0.999068,307.39,2478.08
2024-09-10,57049.0,2359.57,0.999537,0.539609,519.04,134.88,0.999387,0.103855,0.343415,2357.51,0.154397,57052.0,2782.4,10.56,61.44,23.88,0.953467,0.093115,5.22,5.39,1.354e-05,0.051085,1.016,4.29,0.97122,2360.34,8.43,0.999426,322.25,2471.72
2024-09-14,60621.0,2445.09,1.001,0.573159,557.3,138.97,0.999974,0.107011,0.36091,2446.63,0.149049,60504.0,2884.39,11.46,64.96,24.95,1.028,0.096484,5.79,5.74,1.399e-05,0.052416,1.016,4.43,1.13,2445.0,8.43,0.999422,335.86,2582.86
2024-09-18,60317.0,2341.09,1.0,0.584989,545.86,131.52,0.999953,0.101163,0.334017,2338.03,0.150015,60119.0,2754.31,10.63,63.72,23.77,1.17,0.094576,5.52,5.74,1.331e-05,0.0498427,1.016,4.15,1.052,2345.88,8.43,0.998742,314.23,2451.63
2024-09-22,63403.0,2614.6,0.999847,0.597998,589.13,149.67,0.999929,0.110159,0.358671,2615.21,0.152097,63317.0,3082.81,11.51,67.0,27.87,1.49,0.098027,5.67,5.54,1.5e-05,0.05602,1.016,4.47,1.18,2615.18,8.43,0.998593,345.64,2741.04
